id,name,to_center,dist,count
1,Польова,2.8,0,0
2,Пресвятої Богородиці,2.47,0.34,5
3,Новознесенська,2.11,0.58,6
4,Височана,2.44,0.32,6
5,Торговельний центр,2.97,0.53,7
6,Автостанція N2,3.25,0.32,13
7,Липинського-Миколайчука,3.1,0.5,12
8,Бетховена,2.72,0.8,12
9,Замарстинівська,2.3,0.62,13
10,Шевч. адміністрація,2.04,0.52,12
11,Хімічна,1.75,0.22,13
12,700-річчя,1.21,0.53,15
13,гот. Львів,0.78,0.43,20
14,Театральна,0.61,0.30,18
15,Підвальна,0.53,0.48,20
16,Шухевича,0.44,0.63,24
17,Шота Руставелі,0.73,0.32,25
18,Стрийський ринок,1.08,0.56,24
19,Парк культури,1.68,0.92,20
20,Дитяча залізниця,2.18,0.53,18
21,Податкова,2.77,0.59,15
22,Козельницька,2.95,0.37,12
23,Кибальчича,2.84,0.75,12
24,Карбишева,3.09,0.49,11
25,Угорська,3.41,0.35,12
26,Рахівська,4.0,0.58,12
27,Шувар,4.72,0.77,13
28,Дитяча поліклініка,4.98,0.4,11
29,Кінотеатр Довженка,5.32,0.33,9
30,Іскра,5.56,0.45,5
31,Кос-Анатольського,5.99,0.42,4
32,Коломойська,6.34,0.4,3
33,Трильовського,6.76,0.4,0
